key,value,date
psychiatric,68,1/1/04
chronic pain,8,1/1/04
unclear,20,1/1/04
other off-label,4,1/1/04
psychiatric,35.23809524,1/1/05
chronic pain,36.19047619,1/1/05
unclear,25.71428571,1/1/05
other off-label,2.857142857,1/1/05
psychiatric,44.28571429,1/1/06
chronic pain,27.14285714,1/1/06
unclear,26.42857143,1/1/06
other off-label,2.142857143,1/1/06
psychiatric,46.47058824,1/1/07
chronic pain,24.70588235,1/1/07
unclear,26.47058824,1/1/07
other off-label,2.352941176,1/1/07
psychiatric,28.30188679,1/1/08
chronic pain,37.73584906,1/1/08
unclear,29.24528302,1/1/08
other off-label,4.716981132,1/1/08
psychiatric,30.50847458,1/1/09
chronic pain,36.44067797,1/1/09
unclear,27.11864407,1/1/09
other off-label,5.93220339,1/1/09
