key,value,date
high blood pressure,33.05785124,01/01/96
heart attack,8.26446281,01/01/96
chest pain,2.066115702,01/01/96
heart failure,6.198347107,01/01/96
other heart disease,12.80991736,01/01/96
unclear,12.80991736,01/01/96
other off-label,24.79338843,01/01/96
high blood pressure,27.18446602,01/01/97
heart attack,9.708737864,01/01/97
chest pain,3.883495146,01/01/97
heart failure,6.148867314,01/01/97
other heart disease,11.32686084,01/01/97
unclear,16.82847896,01/01/97
other off-label,24.91909385,01/01/97
high blood pressure,23.59550562,01/01/98
heart attack,8.988764045,01/01/98
chest pain,4.119850187,01/01/98
heart failure,6.367041199,01/01/98
other heart disease,11.61048689,01/01/98
unclear,21.34831461,01/01/98
other off-label,23.97003745,01/01/98
high blood pressure,25.30120482,01/01/99
heart attack,10.54216867,01/01/99
chest pain,2.409638554,01/01/99
heart failure,7.530120482,01/01/99
other heart disease,12.65060241,01/01/99
unclear,18.37349398,01/01/99
other off-label,23.19277108,01/01/99
high blood pressure,23.69146006,01/01/00
heart attack,8.815426997,01/01/00
chest pain,1.652892562,01/01/00
heart failure,9.917355372,01/01/00
other heart disease,14.04958678,01/01/00
unclear,19.28374656,01/01/00
other off-label,22.58953168,01/01/00
high blood pressure,22.22222222,01/01/01
heart attack,6.597222222,01/01/01
chest pain,1.909722222,01/01/01
heart failure,10.41666667,01/01/01
other heart disease,12.15277778,01/01/01
unclear,22.04861111,01/01/01
other off-label,24.65277778,01/01/01
high blood pressure,19.12650602,01/01/02
heart attack,8.43373494,01/01/02
chest pain,2.409638554,01/01/02
heart failure,9.789156627,01/01/02
other heart disease,10.9939759,01/01/02
unclear,28.46385542,01/01/02
other off-label,20.78313253,01/01/02
high blood pressure,19.8838897,01/01/03
heart attack,7.547169811,01/01/03
chest pain,2.322206096,01/01/03
heart failure,10.88534107,01/01/03
other heart disease,10.74020319,01/01/03
unclear,26.56023222,01/01/03
other off-label,22.06095791,01/01/03
high blood pressure,19.57746479,01/01/04
heart attack,8.309859155,01/01/04
chest pain,1.267605634,01/01/04
heart failure,11.83098592,01/01/04
other heart disease,9.577464789,01/01/04
unclear,28.5915493,01/01/04
other off-label,20.84507042,01/01/04
high blood pressure,20.61728395,01/01/05
heart attack,7.407407407,01/01/05
chest pain,1.481481481,01/01/05
heart failure,10.61728395,01/01/05
other heart disease,9.87654321,01/01/05
unclear,28.7654321,01/01/05
other off-label,21.2345679,01/01/05
high blood pressure,20.60535506,01/01/06
heart attack,6.402793946,01/01/06
chest pain,1.862630966,01/01/06
heart failure,10.94295693,01/01/06
other heart disease,10.94295693,01/01/06
unclear,27.47380675,01/01/06
other off-label,21.76949942,01/01/06
high blood pressure,23.92108508,01/01/07
heart attack,8.754623921,01/01/07
chest pain,2.466091245,01/01/07
heart failure,9.864364982,01/01/07
other heart disease,8.754623921,01/01/07
unclear,23.30456227,01/01/07
other off-label,22.93464858,01/01/07
high blood pressure,13.09823678,01/01/08
heart attack,12.34256927,01/01/08
chest pain,4.785894207,01/01/08
heart failure,8.312342569,01/01/08
other heart disease,4.534005038,01/01/08
unclear,27.20403023,01/01/08
other off-label,29.72292191,01/01/08
high blood pressure,12.94117647,01/01/09
heart attack,14.82352941,01/01/09
chest pain,2.823529412,01/01/09
heart failure,10.82352941,01/01/09
other heart disease,4,01/01/09
unclear,26.11764706,01/01/09
other off-label,28.47058824,01/01/09
